timestamp,lat,long,accMax,accMin,accStd,accZcr,accMean,accVar,gyroMax,gyroMin,gyroStd,gyroZcr,gyroMean,gyroVar,pothole,pothole type
1619294715630.2942,42.63154128392154,-71.36092409254908,0.9991726023701537,0.955288472845916,0.09479235374408192,0.0,0.9753985567140091,0.00898559032834316,0.0027060603106627786,0.0,0.0007804297075905945,0.0,0.0014116692785607642,6.09070528489941e-07,No,0
1619294716914.3137,42.63154044176473,-71.36092297470594,0.9966313359065626,0.9670370406514633,0.07971367603733147,0.0,0.9829639729461013,0.006354270147384633,0.0021434124234163544,0.0005713952896511836,0.0005794270669949773,0.0,0.0014963842345503474,3.357357259664018e-07,No,0
1619294718230.157,42.63154013000002,-71.36092201000007,1.0099957153226782,0.9616504093683405,0.12963613258571807,0.0,0.984627480069341,0.016805526871781877,0.037699098998176306,0.0010357419198552366,0.010293555835564766,0.0,0.010164030652129065,0.00010595729173988945,No,0
1619294719499.2156,42.63154051784313,-71.36092018039211,1.0013529982486262,0.9599778269338038,0.09694477894134702,0.0,0.98368834897132,0.009398290163986642,0.037699098998176306,0.0020027966741198292,0.010200103720901561,0.0,0.012528198654371537,0.00010404211591714985,No,0
1619294720801.1765,42.63154007862743,-71.36092006274512,0.987185192823279,0.975997679310127,0.03141042680059311,0.0,0.9809223610310565,0.000986614911795418,0.005431476657669095,0.0005064877905305432,0.0008079582331136657,0.0,0.0011075168427597466,6.527965064561566e-07,No,0
1619294722064.843,42.631538959999965,-71.36092055000006,0.9908952011257602,0.9663904132433385,0.05830664108985536,0.0,0.9793493207244491,0.0033996643951812095,0.07460374543540221,0.005431476657669095,0.021251547171734296,0.0,0.026820482436844664,0.000451628257192448,No,0
1619294723328.1765,42.63153605078435,-71.36092308196085,0.9998351053798287,0.9627244045947831,0.09418956076750405,0.0,0.9823936603670285,0.00887167335757534,0.1377915931682235,0.07460374543540221,0.01708794112601945,0.0,0.11575408851782458,0.0002919977319263069,No,0
1619294724562.9019,42.63153393627454,-71.36092442431378,1.04669088168387,0.9354333194530424,0.2420478121677662,0.0,0.9818100994944141,0.058587143375202225,0.24647161178972024,0.1377915931682235,0.023508044647777983,0.0,0.18977958651728152,0.000552628163161923,No,0
1619294725755.8235,42.63152461000002,-71.36092796000001,1.058192708611449,0.9192308027389569,0.32068043945856267,0.0,0.9779921377496914,0.10283594425133687,0.24647161178972024,0.2016768075935068,0.010356359220277151,0.0,0.2361446948648799,0.00010725417629941956,No,0
1619294726988.1177,42.6315167043137,-71.36092543901962,1.001874526706251,0.9543848460490709,0.07632507182604753,0.0,0.9846398174078315,0.005825516589251314,0.2016768075935068,0.022147425417447512,0.058529822791394855,0.0,0.11013066101283302,0.0034257401559920847,No,0
1619294728241.353,42.631507079999956,-71.36092237000001,1.0139505611376392,0.9612960524291487,0.11698675554528064,0.0,0.9839328470313736,0.013685900973011249,0.022147425417447512,0.004362321980494013,0.003055640598118233,0.0,0.007294059807455008,9.336939464868351e-06,No,0
1619294729458.8628,42.63151267000002,-71.36092107999995,1.0038137033828365,0.9653292692275961,0.08793988721999269,0.0,0.985860046943867,0.007733423764265032,0.1185269988267122,0.004362321980494013,0.03352282652949637,0.0,0.037402756139535906,0.0011237798985267056,No,0
1619294730684.7256,42.631513886470614,-71.3609210890196,1.0231160993945603,0.9607422753545928,0.15722322736686534,0.0,0.9870356820891033,0.02471914322365303,0.25649370203098704,0.1185269988267122,0.043696202025593565,0.0,0.2153294902025389,0.0019093580714614872,No,0
1619294731917.4707,42.631514610000025,-71.36092211000003,1.0777016537350492,0.9009992369088315,0.33996194129044643,0.0,0.9928292148523112,0.11557412152596896,0.24949861920785707,0.029023682421942237,0.05590525446925578,0.0,0.14943278434519305,0.0031253974772722432,No,0
1619294733148.0195,42.631517487254904,-71.36092612450979,1.095174878121708,0.9035124880277609,0.46934495860791003,0.0,0.9944051795579293,0.22028469017066077,0.051580888810115876,0.029023682421942237,0.0077352993073025855,0.0,0.04395976355104609,5.983485537355586e-05,No,0
1619294734380.608,42.63151967,-71.36092916999998,1.1143848326133337,0.8117788379568788,0.7597504411597167,0.0,0.9554040877882575,0.5772207328423842,0.035835903144067316,0.009214737439244418,0.008965353485016552,0.0,0.022684802722687945,8.037756311129844e-05,No,0
1619294735602.7058,42.63153506176468,-71.3609641425491,1.0489900620246466,0.9341477414091923,0.302190408760866,0.0,0.9790113874390649,0.09131904314705928,0.04736824310308458,0.013241091684484518,0.009427132499267741,0.0,0.030021815559982918,8.887082715875006e-05,No,0
1619294736824.4902,42.631539539411754,-71.36105900686279,1.1260961749493892,0.9153879103509224,0.6287280647604191,0.0,1.0086144176615466,0.39529897941738174,0.09118583619917828,0.021078656440259122,0.01873100568167094,0.0,0.04567425534207362,0.00035085057384678903,No,0
1619294738057.9019,42.63154796000001,-71.36126340000006,1.1166610990922157,0.861433447689102,0.6154883867942742,0.0,1.0014502065795827,0.3788259542786181,0.18995557425651938,0.0763661376730882,0.03880107013894389,0.0,0.1392968454761604,0.0015055230439272433,No,0
1619294739289.0393,42.63156681882352,-71.36134635000003,1.1112430675954448,0.9003387780043965,0.6543912129484739,0.0,0.9697975301713552,0.4282278595841749,0.2421306353649111,0.18944273964383207,0.014740696925742225,0.0,0.2075810653609708,0.0002172881458565863,No,0
1619294740525.0981,42.63157978039215,-71.36139080333338,1.0849175872307941,0.860319542545585,0.5463646714641147,0.0,0.9759401750061929,0.29851435422409,0.3536814444251531,0.23423712638872596,0.03796054511384297,0.0,0.2692158636279263,0.0014410029853401073,No,0
